lo_val	la_val
127.3837545	36.40639693
127.3698633	36.3777468
127.1103821	37.34137179
128.1461665	35.17824623
126.7121706	37.40052264
126.5237595	33.50408246
129.0640959	35.1462036
127.5368367	36.89781329
127.4845544	36.61933916
127.5443166	36.90271
126.9260151	37.6335071
129.3090011	35.56494002
127.3230873	36.63999248
128.9072228	37.76192894
129.1705816	37.452125
127.9231853	37.33951875
127.1881792	37.23348433
127.9227403	35.69385872
128.0605737	35.00860865
129.0171109	35.32747588
128.068756	35.1841564
128.4181128	34.87404969
128.1806542	36.58893817
128.7058095	36.56425144
128.506695	35.85499529
127.3808858	36.34485973
127.5194921	34.9342699
126.607458	34.56859249
127.377062	35.41096839
127.0718152	35.83731579
127.0703991	35.83794751
127.1216872	35.83340744
126.866799	35.56169223
127.4340333	35.79416574
126.5265913	33.49078941
127.139628	36.47655238
126.6107642	36.35109419
127.157995	36.78557636
127.9288042	36.99318932
127.0226927	37.5169329
127.0826932	37.62881598
128.1076213	35.1799817
126.670268	36.0178467
126.9353944	37.60985607
129.1876203	35.57730775
126.8969041	37.50251996
126.784021	37.68044648
129.3198455	35.56500565
126.7953537	35.01848173
128.7361284	35.87864023
126.9048692	37.5268906
127.2457191	36.90454619
126.7957148	37.31369699
126.8455413	36.97462812
128.6728472	35.21497504
128.3840172	36.10082123
126.8592074	35.22896901
126.8584933	35.22773874
126.8586896	35.22350984
126.8585146	35.22304093
128.7295487	35.87994268
126.8972992	37.4848786
126.4429684	34.76700377
126.4487875	34.75726264
126.5604877	35.96114632
126.974866	35.95004131
127.1173955	36.83874562
126.935842	37.61092309
127.3569802	36.36828116
127.2533169	36.563744
127.0102649	37.63865444
128.7207071	35.18949184
127.2427807	36.51360487
128.8299628	37.00813026
128.8299628	37.00813026
127.293556	36.497715
127.5346647	36.8971743
128.1841504	36.12836889
127.3701659	36.31960636
126.6324963	37.45461127
127.1460802	35.84533454
127.4327202	36.63375492
127.0429552	37.5038913
126.522337	33.25834
127.7779884	36.0105237
127.065374	35.83796477
127.42734	36.974014
127.3021109	36.49219853
126.7136454	35.024698
127.0354102	37.503238
128.1383876	35.18027361
127.3684616	36.37483207
126.8659395	35.10826325
129.0802563	35.0784835
128.1358019	35.17779589
126.5856105	35.94693493
127.4615815	36.62416671
127.5502989	36.9050903
127.3944921	36.3983704
127.3974663	37.32085735
128.1346394	35.17724077
127.3240287	36.63730094
127.2428817	36.51450582
127.375139	36.4206333
127.3012716	36.4926287
127.9898978	37.32430391
126.9816265	37.56852759
127.0447536	37.46512137
127.359677	36.36346802
129.0438889	37.23105388
127.977464	37.32493346
127.0216832	35.02568669
127.3902413	36.43639548
127.3573596	36.38105865
127.1063944	37.37849415
128.6585641	35.23772019
126.8456262	35.22167676
129.1058734	35.1278123
127.0811848	35.84733181
127.5115482	36.58263314
129.3768283	36.08027002
128.4320025	36.0960652
128.5608855	35.8300885
126.8281224	37.34557291
126.7892827	36.6730562
126.5499494	33.47840557
126.8310227	36.69304499
127.5675547	36.5768403
127.1713496	35.79810042
127.462276	36.28453976
129.1034357	35.57274063
129.3172462	35.5646592
127.3665883	36.33562953
127.2132314	37.553625
127.1411035	35.84788564
126.7842332	35.02075918
127.0829393	35.9826054
127.4382734	36.72736854
127.3752265	36.3995967
128.8529506	37.81896803
128.6019018	38.17642289
127.8176831	37.30818308
127.226941	38.19759623
127.9097728	37.70822147
126.721257	37.69306183
126.7217469	37.61771587
126.9861564	37.31158748
126.9904071	37.31033005
127.266	37.02556148
127.4839854	37.48309941
127.5698179	37.28968388
127.0715381	38.02070679
126.77927	37.75804011
126.9326098	36.98106031
127.9041875	35.68709959
128.3158175	34.98235508
128.8804393	35.23119163
128.7443555	35.49507966
128.0815518	35.07791905
128.2590873	35.31914034
128.1361104	35.17724861
128.5005866	35.53530421
128.7097407	35.33605407
127.7477206	35.06438577
128.4033077	35.27882749
128.1702509	35.56572228
128.7366023	35.82769099
129.2206541	35.84236114
128.2707419	35.73909701
128.3498845	36.16342519
128.2558023	36.61384719
128.1522569	36.42643719
128.287301	35.92272706
128.6966372	36.57242677
129.4049166	36.53625945
128.627043	36.81896218
128.9367706	35.95788769
128.4647251	36.67178551
128.4339418	36.39212915
129.0501452	36.52890248
128.4055842	35.98913841
129.3460057	36.11036154
128.557711	35.93136725
127.2913421	36.5764792
126.5052606	37.73810444
127.2971493	35.28578793
127.471511	35.21090616
126.7771078	35.02034969
126.9825736	35.31012365
127.5252946	34.96400845
126.7743081	35.29342346
126.2587752	34.48420425
126.5162498	35.067049
126.6109179	34.57256269
126.9590031	34.99406483
127.2727341	34.5942252
126.773082	34.6351554
126.7229829	34.99248
126.6929541	35.42617179
126.7585932	36.01361936
126.7512858	35.93994111
126.9004574	35.80120595
126.8936204	35.7978546
127.3927753	35.41648843
126.7427396	35.72855698
127.1392512	35.38603773
126.967818	36.07771892
127.5151214	35.6469144
127.1094509	35.81413225
127.1499325	35.84544876
126.8427432	35.58486263
126.5872452	33.5225765
127.1354071	36.46711307
127.1052362	36.20058798
126.6363415	36.90060693
126.6241864	36.37886084
126.9046812	36.27458822
126.4683103	36.77088635
126.6994255	36.08217687
127.0125376	36.78020905
126.8333707	36.68353959
127.15918	36.80815665
126.8091334	36.45067574
127.4890319	36.6424341
127.7744645	36.80034574
127.7165699	36.48543334
127.574592	36.31012202
127.6234843	36.97259052
127.4409317	36.85846608
127.9203748	36.97042591
127.0995051	37.38380538
127.0226424	37.29586484
127.9302552	35.25754852
128.5878762	35.25286461
129.2066681	35.84945603
128.7557985	36.55372238
